iter	Passed	Remaining
0	305	916919
1	601	901711
2	890	889506
3	1123	841561
4	1358	813725
5	1558	777547
6	1787	764156
7	2048	765986
8	2279	757634
9	2506	749476
10	2769	752672
11	3004	748167
12	3246	745930
13	3481	742454
14	3741	744583
15	4004	746928
16	4282	751438
17	4579	758712
18	4863	763058
19	5122	763278
20	5387	764264
21	5645	764156
22	5927	767237
23	6199	768786
24	6472	770274
25	6711	767684
26	6975	768062
27	7197	763947
28	7413	759536
29	7640	756447
30	7890	755735
31	8160	756870
32	8421	757130
33	8646	754236
34	8902	754193
35	9165	754659
36	9413	753863
37	9644	751769
38	9890	750946
39	10090	746717
40	10307	743923
41	10560	743758
42	10782	741495
43	10999	738998
44	11220	736836
45	11470	736576
46	11698	735027
47	11947	734785
48	12187	733995
49	12424	733017
50	12652	731604
51	12864	729307
52	13115	729294
53	13308	726078
54	13524	724186
55	13761	723444
56	14010	723368
57	14269	723792
58	14532	724384
59	14757	723126
60	14982	721852
61	15224	721445
62	15461	720782
63	15730	721622
64	15964	720864
65	16215	720830
66	16471	721060
67	16699	720058
68	16921	718785
69	17110	716188
70	17352	715865
71	17586	715185
72	17829	714885
73	18045	713517
74	18311	714146
75	18536	713157
76	18754	711948
77	18961	710328
78	19205	710117
79	19448	709871
80	19660	708503
81	19887	707702
82	20110	706792
83	20345	706266
84	20595	706321
85	20837	706068
86	21061	705183
87	21321	705538
88	21541	704592
89	21792	704619
90	22041	704585
91	22278	704192
92	22513	703715
93	22734	702822
94	23004	703447
95	23249	703293
96	23494	703138
97	23746	703184
98	23983	702792
99	24163	700751
100	24377	699700
101	24611	699264
102	24884	699896
103	25133	699877
104	25348	698882
105	25571	698142
106	25826	698272
107	26017	696687
108	26228	695662
109	26451	694954
110	26692	694731
111	26932	694476
112	27148	693612
113	27373	692975
114	27592	692220
115	27769	690415
116	28020	690452
117	28253	690050
118	28478	689470
119	28654	687708
120	28891	687422
121	29144	687525
122	29360	686756
123	29638	687422
124	29892	687528
125	30079	686088
126	30295	685343
127	30580	686158
128	30787	685204
129	31002	684436
130	31177	682816
131	31428	682862
132	31671	682725
133	31932	682970
134	32170	682721
135	32429	682919
136	32654	682398
137	32913	682596
138	33157	682466
139	33342	681144
140	33596	681215
141	33816	680607
142	34022	679736
143	34263	679564
144	34489	679093
145	34675	677844
146	34906	677479
147	35114	676670
148	35339	676197
149	35552	675498
